ROUND,TIME UNIT STDEV,FIFO_1,FIFO_2,FIFO_3,FIFO_4,FIFO_5,RR_1,RR_2,RR_3,RR_4,RR_5,SJF_1,SJF_2,SJF_3,SJF_4,SJF_5,PSJF_1,PSJF_2,PSJF_3,PSJF_4,PSJF_5
111,0.060926505027374386,168.98461468429605,9242.348774797454,1833.0728104937427,211.3300144324038,1623.6047636575315,126.32576934260088,321.0241423943065,1693.538480027346,1076.7409822502082,1189.8314106268524,634.129817151031,794.7473183345761,571.7423480030144,768.3279247821207,301.7670873372376,1120.0123325213879,328.5136222441925,115.90782976141,521.1170693807678,226.85546059109973
112,0.016719473698646597,31.929610082179206,1818.7670274117024,641.3988618636613,67.18351732381984,706.3102313128013,111.99598207078681,199.6158811317376,320.42055697681656,186.72382203212774,254.682014621034,145.17704708389684,152.61815095197557,382.9567534330737,145.62245705934234,54.7779608966964,140.20921866981502,413.2648061473418,18.99012901483294,70.8590149522275,144.86476452194992
113,0.05812151493422064,50.50643523354227,728.0357992571519,411.96723170660067,141.83044454559112,1253.9644560922998,47.33708905287692,118.92329460622928,190.6132646660947,69.54084103193297,82.13186261824858,137.7171013345837,262.8900911027268,448.6986042991442,87.15560796644127,19.761072845369505,99.20496459351216,266.6025131164371,29.45335295004628,117.76937207950121,117.48233909826617
114,0.0244642399479049,14.66628787389638,7650.271776218149,219.70483446140707,15.596473960482221,191.2462884793921,7.918333157931662,42.82814495165533,711.8214897945504,173.2972260927121,26.60692713239489,184.96992998863357,284.1712511849149,88.07879994641162,99.21945373766175,32.14809481135702,138.56631986164604,323.7435713647454,107.18733600570545,186.84686243017302,44.19728498448745
115,0.08370771271570608,281.6281235956381,15340.460019992881,2483.350401027957,543.9918427697239,2657.795689772152,235.71062767724328,1042.8713966736264,3410.802166157789,2236.144098346846,2232.0026721694194,1349.2094907759877,967.8476119720501,2120.6741557815994,1322.4391857473067,510.736233294643,1285.4671329909606,983.3549206669991,355.26944000293634,1258.5764776127035,1362.1449262101298
116,0.0048787442826315666,33.95732616093322,401.11235957023314,974.1317012748182,11.247221879201993,626.3028135700129,33.06055050963308,100.04498987955368,402.92855032457885,141.05571341039075,450.6299558871526,120.5440790748347,22.759613353482084,1151.3840855683216,108.2774214691133,102.2087325036369,559.3415772137809,350.21993090057,32.762402231826655,377.5597634812269,211.86835535303518
117,0.02139851809070931,8.087026647662292,1939.664242852355,296.03112770691627,50.104889980919026,254.56924401820422,87.04998564043535,18.282505298782223,233.2505805637648,121.08055170009757,44.37261059965451,429.84372160123496,283.46657651299915,184.6214031470891,61.61817913570637,16.575584454250777,123.94706531418967,351.01025626041184,29.660579899927782,14.633010626661896,181.41196211937074
118,0.007442132202996882,37.76771107705628,301.2855788118641,383.02694795163285,4.227883631321941,467.6696789096216,96.84885130965674,41.515057509294145,1055.1749065123438,218.489293624588,35.886726555331606,19.643701280563192,214.86228147350573,106.42368157510809,133.4994382010651,380.92404098455114,703.988192372571,320.3103182852529,21.540659228538015,30.08114027094053,71.26289357021646
119,0.010262044399903964,19.271740969616626,11676.96027975603,101.93590423118133,161.18118686745052,171.03090781660322,10.344080432788601,35.35533905932738,89.67534034876404,11.21860699272164,70.28614982443452,171.99491271546376,20.661558508495915,74.45426448498434,9.964938534682489,29.523295886469043,1379.8274348627801,582.3778841954767,19.971855196751253,438.95956533603413,483.0239124515473
120,0.009121767933111556,132.16240009927182,435.3643588995314,614.4495213487551,7.533259586659682,602.4719910502064,8.61974477580398,119.03885920152292,1056.3433785154018,311.7162170949725,74.87799600492981,447.8674469081226,12.637246535539298,1135.3698186053741,166.39891826571468,184.6797904482242,33.406586176980134,327.87329869936036,13.80217374184226,309.20159281607846,110.1734995359592
121,0.04790169068156222,85.34869653369054,6894.702132797326,1021.5971389377098,126.12989336394446,1439.7706166509402,78.09225313691493,225.80135074883853,1554.2772436087457,896.8651355853741,918.8450436747833,507.9665343307569,441.8774717045439,1211.8516565570226,588.387627334226,158.39389192768766,919.4115645346212,236.8037161870565,135.69681278497296,473.47280808933476,526.6395351661324
122,0.010983187835023007,3.8340579025361627,11817.681064828243,169.8871474159916,54.540122845479544,2356.503675241898,10.977249200050075,297.8766523244143,1413.5837730157111,476.80371822615405,432.7018934225139,153.76971418325522,15.079787796915447,191.1865907954844,719.5410342711526,42.513233233900245,773.3572104790903,317.34224427264644,288.48613484879996,8.993052874302474,48.133148660772235
123,0.011016182945642189,31.96717065991296,1445.4620368588032,526.5172633175749,23.25403190846697,47.120665772643136,159.5327552573452,209.08909584194006,1756.3070868539287,105.44633028905544,185.7580992273861,460.5844113732031,38.97691624538812,142.179244265821,12.751470503436064,50.68900275207631,26.15578329930113,1131.9530025579684,25.49754890180623,21.531953000134475,354.80431226240756
124,0.05018448813649629,48.08222124652729,11504.076918640625,222.76541152393602,89.00280894443725,710.929371617583,76.08022081986881,277.7327852450985,599.3407489344715,260.00824162761785,301.16606714568627,270.69840228564334,282.9819782247626,615.4774061653279,114.8342283467782,134.47025693438678,502.89897096733057,262.0927316809835,74.9074428878733,193.0155434155498,256.5305050086636
125,0.03171354707076758,16.241921068642096,2164.3498735186045,433.44599268124347,62.5839436277389,256.56494582965036,12.128478882366082,217.8566042147908,333.7992160965431,41.69532347877877,240.33726302843678,180.13918230079761,76.31186015292774,348.7945312071277,48.35080144113436,86.83677216479204,214.8912515669263,262.07231826349,16.019519343600795,756.9638366527162,91.19539462056184
126,0.046060604993991935,14.642404174178502,2640.1759411069556,626.361830619605,89.86517679279332,742.4535098480674,112.66321493726335,475.99789915502777,264.5406396000433,413.2768010495076,63.406286303939474,279.1401977501628,103.12807571170907,440.3686665738152,94.3154282182931,80.73800220466197,472.7770351867781,369.6273799382291,27.917288550287257,273.0991120454257,142.1907169965747
127,0.018579904236381214,4.8373546489791295,6153.614354588692,1059.2314262170069,16.09347693943108,248.4280579966764,106.78576684184087,274.399799562609,81.75624339054072,558.6859582985776,109.5119041148365,345.5595100702627,658.1948039904296,312.9759375734818,46.49085931664417,7.729812416870153,129.7825103779396,360.60851348796524,12.083045973594572,256.93068131307325,56.05354582896607
128,0.04867558835674512,13.674794331177344,2045.4520282812794,311.8431382235993,10.62426468043789,612.0508265542285,18.994736112934024,205.42699433131958,246.61390201419437,386.9029963329679,134.23220818524038,30.789608636681304,343.71834399694177,199.30488579058968,252.16700815134402,151.07944929738127,105.22178956851096,267.48420514116344,55.467332728372654,174.64642853491165,329.26463521003893
129,0.01849677146352681,102.14646347279968,728.5638269911566,264.51545998566615,68.31270013694379,472.0198240389002,11.117553687749837,182.17779776910248,39.576929306520654,170.7046321239451,57.534461722643115,98.59703342393219,76.43559380288741,212.10993611804233,46.877499933336885,31.34684992148334,241.10034218142454,282.09696914359074,9.643650760992955,30.712375355872428,153.60924451347321
130,0.013993022764010538,32.47460546334628,1700.4263435973933,124.36122500890012,5.863019699779287,182.3215370085028,13.423859355639868,46.577891751344865,46.253828670356214,222.62476437783312,228.8282262808877,5.1478150704935,481.9473000235607,374.1749256697995,48.016663774152406,65.57438524302,114.84173892796991,824.8314979436709,35.90264614203248,408.45884125576225,828.6239798605878
131,0.018224199445405376,45.478566380219156,552.2387391337193,61.1310068623117,6.284902544988268,347.6971177825403,102.41581909060729,77.50806409658288,833.5282438725957,155.46864635674936,170.6259484536695,20.84166500066633,240.72328512215014,221.5978903329181,203.18390684303714,40.424311991671544,46.95077209162805,301.3189340217438,44.761869934130324,396.10431075664906,57.844619455918284
132,0.050486170040226166,16.688319268278637,9911.373101139923,384.9735612443313,57.5086949947571,540.2355967538607,89.58292247967802,669.1309662539912,1279.1952222654159,404.23561022184646,678.9635483588202,129.8032164470511,207.59190735671754,136.87928075497766,168.84904500766356,69.96874302143779,31.547583108694713,294.8681061084769,10.747092630102339,188.7740050960407,248.47454598006613
133,0.015381404176773672,11.36221809331259,1060.7825531182157,65.11583085987176,16.76305461424021,407.43132637818326,22.849507653339053,9.617692030835672,57.19338539842989,27.617282373801476,38.57552888258862,182.69304858149366,36.36756796927724,494.07337511750217,300.5190509768058,25.49264599840511,106.25441167311595,484.3151866295336,45.67001204291499,50.586559479766954,100.76408090187694
134,0.01388906386821592,24.19297418673446,477.0661641743208,142.74903051960007,46.79209334919736,593.0837088592855,21.589349225949356,190.23735174775746,111.74822891959705,213.02615533577762,438.96249433017783,33.57454392839909,64.29307894322686,844.2975260534641,69.4118145563131,39.25398068986125,467.7906850291057,302.487520403735,36.245689398878866,57.98060020386129,22.949945533704433
135,0.027531663271867273,47.95727264972436,1299.4437271386553,166.31145480693746,47.23213948150136,266.12537324673553,8.677557259966655,119.41000795578233,36.15014983832478,38.467982976570454,256.6371813614365,410.6280251030122,117.94575024137157,258.3556173184551,61.9588573167711,45.76297630180974,171.8818634993233,282.3209166887923,22.96192500641007,385.3834129798531,91.17455785469978
136,0.015682421439518795,109.80983562504773,849.8093903929281,34.54913685090927,52.91856951959303,2394.7938175491076,8.438009243891594,78.63523383318702,15.193200233437764,315.2373255637274,487.9055090017797,62.86095767644652,456.35161882040035,453.315494440682,45.11208263869005,482.8723951521768,1156.1528878137183,562.6304293228371,7.615773105863909,57.66714836022326,26.366645596283195
